INSTNM,CITY,STABBR,REGION,LOCALE,RELAFFIL,ADM_RATE,UGDS,ACTCM25,ACTCM75,SATVR25,SATVR75,SATMT25,SATMT75,MENONLY,WOMENONLY,HBCU,ANNHI,TRIBAL,AANAPII,HSI,NANTI,CCSIZSET,NPT4_PUB,NPT4_PRIV,C150_4,C150_L4,,
Pinellas Technical College-St. Petersburg,Saint Petersburg,FL,5,11,NULL,NULL,557,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,-2,11129,NULL,NULL,0.4296,,
Santa Fe College,Gainesville,FL,5,22,NULL,NULL,11043,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,12,11126,NULL,0.5331,NULL,,
Suncoast Technical College,Sarasota,FL,5,21,NULL,NULL,1045,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,-2,13650,NULL,NULL,0.9159,,
Seminole State College of Florida,Sanford,FL,5,13,NULL,NULL,13829,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,1,0,12,8427,NULL,0.4696,NULL,,
Sheridan Technical College,Hollywood,FL,5,21,NULL,NULL,1034,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,-2,7545,NULL,NULL,0.6657,,
St. John Vianney College Seminary,Miami,FL,5,21,30,0.9231,57,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0,0,0,0,0,8,NULL,35190,1,NULL,,
Saint Johns River State College,Palatka,FL,5,32,NULL,NULL,4159,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,12,5574,NULL,0.4205,NULL,,
South Florida State College,Avon Park,FL,5,41,NULL,NULL,2031,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,1,0,9,4005,NULL,0.5852,NULL,,
University of South Florida,Tampa,FL,5,11,NULL,0.4924,37002,25,30,590,660,570,660,0,0,0,0,0,0,0,0,15,8346,NULL,0.7366,NULL,,
St. Thomas University,Miami Gardens,FL,5,21,30,0.5962,1636,16,21,470,560,440,540,0,0,0,0,0,0,1,0,10,NULL,23821,0.3457,NULL,,
Stetson University,DeLand,FL,5,13,NULL,0.8149,3119,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,14,NULL,23218,0.6425,NULL,,
Southeastern University,Lakeland,FL,5,12,27,0.4266,5342,19,24,490,600,470,570,0,0,0,0,0,0,0,0,13,NULL,26640,0.4789,NULL,,
Bene's Career Academy,New Port Richey,FL,5,21,NULL,NULL,292,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,-2,NULL,21126,NULL,0.6678,,
Riveroak Technical College,Live Oak,FL,5,33,NULL,NULL,196,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,-2,10686,NULL,NULL,0.8267,,
Tallahassee Community College,Tallahassee,FL,5,12,NULL,NULL,9888,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,12,3809,NULL,0.3861,NULL,,
Talmudic College of Florida,Miami Beach,FL,5,13,80,NULL,28,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0,0,0,0,0,8,NULL,10145,0.6,NULL,,
Altierus Career College-Tampa,Tampa,FL,5,11,NULL,NULL,397,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,1,0,6,NULL,22377,NULL,0.7283,,
The University of Tampa,Tampa,FL,5,11,NULL,0.5551,8645,22,27,550,620,540,610,0,0,0,0,0,0,0,0,14,NULL,32440,0.6046,NULL,,
Big Bend Technical College,Perry,FL,5,41,NULL,NULL,137,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,-2,10703,NULL,NULL,0.7907,,
Tom P. Haney Technical College,Panama City,FL,5,22,NULL,NULL,283,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,-2,3980,NULL,NULL,0.5169,,
Trinity Baptist College,Jacksonville,FL,5,11,54,0.6748,323,17,21,460,570,430,538,0,0,0,0,0,0,0,0,7,NULL,16684,0.3163,NULL,,
Trinity College of Florida,Trinity,FL,5,21,42,0.5048,210,16,19,450,545,410,500,0,0,0,0,0,0,0,0,7,NULL,15731,0.2258,NULL,,
Valencia College,Orlando,FL,5,11,NULL,NULL,36915,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,1,0,15,5354,NULL,0.4352,NULL,,
Warner University,Lake Wales,FL,5,41,57,0.5412,815,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,10,NULL,18108,0.4944,NULL,,
Florida Panhandle Technical College,Chipley,FL,5,32,NULL,NULL,334,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,-2,5566,NULL,NULL,0.276,,
Webber International University,Babson Park,FL,5,31,NULL,0.3778,735,14,20,440,530,413,530,0,0,0,0,0,0,0,0,8,NULL,26774,0.3973,NULL,,
Rasmussen University-Florida,Ocala,FL,5,13,NULL,NULL,9008,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,12,NULL,19249,0.4036,NULL,,
The University of West Florida,Pensacola,FL,5,13,NULL,0.5756,9196,21,27,540,630,520,600,0,0,0,0,0,0,0,0,12,7089,NULL,0.4816,NULL,,
Orange Technical College-Westside Campus,Winter Garden,FL,5,21,NULL,NULL,626,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,-2,10623,NULL,NULL,0.7644,,
William T McFatter Technical College,Davie,FL,5,21,NULL,NULL,554,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,-2,9011,NULL,NULL,0.6336,,
Orange Technical College-Winter Park Campus,Winter Park,FL,5,21,NULL,NULL,340,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,-2,21342,NULL,NULL,0.6258,,
Withlacoochee Technical College,Inverness,FL,5,23,NULL,NULL,345,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,-2,4583,NULL,NULL,0.619,,
Abraham Baldwin Agricultural College,Tifton,GA,5,32,NULL,0.7599,3546,16,21,460,570,440,530,0,0,0,0,0,0,0,0,10,7545,NULL,0.2915,NULL,,
Agnes Scott College,Decatur,GA,5,21,66,0.6752,980,NULL,NULL,NULL,NULL,NULL,NULL,0,1,0,0,0,0,0,0,8,NULL,20291,0.7244,NULL,,
Interactive College of Technology-Chamblee,Chamblee,GA,5,21,NULL,NULL,730,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,2,NULL,13863,NULL,0.4352,,
Interactive College of Technology-Morrow,Morrow,GA,5,21,NULL,NULL,90,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,1,NULL,14076,NULL,0.2278,,
Albany Technical College,Albany,GA,5,13,NULL,NULL,2436,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,2,663,NULL,NULL,0.4615,,
Albany State University,Albany,GA,5,13,NULL,0.7302,5839,15,18,380,460,360,440,0,0,1,0,0,0,0,0,13,13520,NULL,0.2605,NULL,,
Andrew College,Cuthbert,GA,5,32,71,0.5864,288,16,20,480,540,440,540,0,0,0,0,0,0,0,0,8,NULL,19839,0.2876,NULL,,
The Art Institute of Atlanta,Atlanta,GA,5,12,NULL,NULL,793,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,9,NULL,25430,0.1686,NULL,,
Georgia Career Institute,Conyers,GA,5,21,NULL,NULL,510,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,-2,NULL,10681,NULL,0.7481,,
Atlanta Technical College,Atlanta,GA,5,11,NULL,NULL,2810,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,3,-209,NULL,NULL,0.3868,,
Point University,West Point,GA,5,32,48,0.3487,895,17,21,470,540,440,540,0,0,0,0,0,0,0,0,10,NULL,22433,0.3346,NULL,,
Atlanta Metropolitan State College,Atlanta,GA,5,11,NULL,NULL,1562,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,9,7293,NULL,0.2377,NULL,,
Atlanta's John Marshall Law School,Atlanta,GA,5,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,18,NULL,NULL,NULL,NULL,,
Atlanta School of Massage,Atlanta,GA,5,21,NULL,NULL,303,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,-2,NULL,22369,NULL,0.7086,,
Clark Atlanta University,Atlanta,GA,5,11,71,0.5905,3092,17,20,450,530,430,510,0,0,1,0,0,0,0,0,14,NULL,35170,0.4235,NULL,,
Augusta Technical College,Augusta,GA,5,12,NULL,NULL,3455,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,3,9345,NULL,NULL,0.3255,,
Berry College,Mount Berry,GA,5,23,NULL,0.7722,1992,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,11,NULL,22410,0.7037,NULL,,
Beulah Heights University,Atlanta,GA,5,11,42,NULL,344,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,1,0,0,6,NULL,10235,0.0741,NULL,,
Brenau University,Gainesville,GA,5,13,NULL,0.9219,1590,17,23,490,600,440,560,0,1,0,0,0,0,0,0,10,NULL,22402,0.4071,NULL,,
Brewton-Parker College,Mount Vernon,GA,5,42,54,0.9814,556,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,8,NULL,18736,0.1545,NULL,,
College of Coastal Georgia,Brunswick,GA,5,13,NULL,0.9594,2976,16,22,460,570,440,530,0,0,0,0,0,0,0,0,9,12570,NULL,0.2326,NULL,,
West Georgia Technical College,Waco,GA,5,41,NULL,NULL,4970,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,3,1731,NULL,NULL,0.3595,,
Clayton  State University,Morrow,GA,5,21,NULL,0.6854,5375,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,12,11663,NULL,0.3057,NULL,,
Columbia Theological Seminary,Decatur,GA,5,21,66,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,18,NULL,NULL,NULL,NULL,,
Columbus Technical College,Columbus,GA,5,12,NULL,NULL,2572,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,2,2428,NULL,NULL,0.2328,,
Columbus State University,Columbus,GA,5,12,NULL,0.7832,6482,17,23,440,550,420,530,0,0,0,0,0,0,0,0,12,12385,NULL,0.3823,NULL,,
Georgia Northwestern Technical College,Rome,GA,5,13,NULL,NULL,4481,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,3,1445,NULL,NULL,0.4856,,
Covenant College,Lookout Mountain,GA,5,41,97,0.9755,842,22,29,540,670,520,635,0,0,0,0,0,0,0,0,11,NULL,25389,0.6755,NULL,,
Dalton State College,Dalton,GA,5,13,NULL,NULL,4366,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,1,0,12,5340,NULL,0.2896,NULL,,
Pro Way Hair School,Stone Mountain,GA,5,21,NULL,NULL,88,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,-2,NULL,11899,NULL,0.6765,,
South University-Savannah,Savannah,GA,5,12,NULL,NULL,246,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,9,NULL,23436,0.1579,NULL,,
East Georgia State College,Swainsboro,GA,5,33,NULL,NULL,2078,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,9,8969,NULL,0.1367,NULL,,
Emmanuel College,Franklin Springs,GA,5,32,47,0.5275,779,NULL,NULL,470,560,440,540,0,0,0,0,0,0,0,0,8,NULL,24189,0.3886,NULL,,
Emory University,Atlanta,GA,5,11,71,0.1917,6978,31,34,680,740,700,790,0,0,0,0,0,0,0,0,17,NULL,22597,0.9027,NULL,,
Georgia Highlands College,Rome,GA,5,41,NULL,NULL,5141,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,12,6574,NULL,0.1323,NULL,,
Fort Valley State University,Fort Valley,GA,5,31,NULL,0.7232,2767,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,0,0,0,0,0,11,13509,NULL,0.4332,NULL,,
Grady Health System Professional Schools,Atlanta,GA,5,11,NULL,NULL,67,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,-2,NULL,NULL,NULL,NULL,,
Georgia Institute of Technology-Main Campus,Atlanta,GA,5,11,NULL,0.2134,15743,31,35,670,740,700,790,0,0,0,0,0,0,0,0,17,14974,NULL,0.9071,NULL,,
Georgia Southwestern State University,Americus,GA,5,32,NULL,0.734,2201,19,22,480,570,460,540,0,0,0,0,0,0,0,0,10,11831,NULL,0.3627,NULL,,
Georgia College & State University,Milledgeville,GA,5,32,NULL,0.8594,5549,23,27,560,640,540,605,0,0,0,0,0,0,0,0,13,20139,NULL,0.6172,NULL,,
Georgia Southern University,Statesboro,GA,5,32,NULL,0.9117,22275,18,24,503,600,490,570,0,0,0,0,0,0,0,0,16,15571,NULL,0.5366,NULL,,
Georgia State University,Atlanta,GA,5,11,NULL,0.8239,28085,20,26,520,630,510,630,0,0,0,0,0,1,0,0,15,17242,NULL,0.5313,NULL,,
University of Georgia,Athens,GA,5,12,NULL,0.4838,29705,29,33,630,720,620,740,0,0,0,0,0,0,0,0,16,14257,NULL,0.8718,NULL,,
Gordon State College,Barnesville,GA,5,32,NULL,0.7878,2732,16,21,460,550,430,520,0,0,0,0,0,0,0,0,13,9297,NULL,0.1648,NULL,,
Southern Crescent Technical College,Griffin,GA,5,21,NULL,NULL,4138,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,3,5956,NULL,NULL,0.4675,,
Gupton Jones College of Funeral Service,Decatur,GA,5,21,NULL,NULL,266,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,1,NULL,14742,NULL,0.9669,,
Gwinnett College-Lilburn,Lilburn,GA,5,21,NULL,NULL,225,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,1,NULL,22400,NULL,0.625,,
Gwinnett Technical College,Lawrenceville,GA,5,21,NULL,NULL,6714,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,3,12696,NULL,NULL,0.3488,,
Interdenominational Theological Center,Atlanta,GA,5,11,42,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,0,0,0,0,0,18,NULL,NULL,NULL,NULL,,
LaGrange College,Lagrange,GA,5,32,71,0.5967,741,19,24,490,570,490,553,0,0,0,0,0,0,0,0,8,NULL,24063,0.4444,NULL,,
Lanier Technical College,Gainesville,GA,5,41,NULL,NULL,3701,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,2,6089,NULL,NULL,0.364,,
Life University,Marietta,GA,5,13,NULL,0.9681,938,18,21,460,540,450,520,0,0,0,0,0,0,0,0,11,NULL,28537,0.2887,NULL,,
Chattahoochee Technical College,Marietta,GA,5,21,NULL,NULL,7858,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,4,2834,NULL,NULL,0.3052,,
Herzing University-Atlanta,Atlanta,GA,5,11,NULL,0.9247,691,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,6,NULL,24707,0.1786,NULL,,
Mercer University,Macon,GA,5,12,NULL,0.7816,4725,25,31,600,670,580,670,0,0,0,0,0,0,0,0,13,NULL,20853,0.7319,NULL,,
Morehouse College,Atlanta,GA,5,11,NULL,0.7707,2152,NULL,NULL,NULL,NULL,NULL,NULL,1,0,1,0,0,0,0,0,11,NULL,34608,0.564,NULL,,
Morehouse School of Medicine,Atlanta,GA,5,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,0,0,0,0,0,18,NULL,NULL,NULL,NULL,,
North Georgia Technical College,Clarkesville,GA,5,41,NULL,NULL,1996,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,2,3438,NULL,NULL,0.3458,,
Oglethorpe University,Atlanta,GA,5,21,NULL,0.6693,1415,22,28,570,650,530,630,0,0,0,0,0,0,0,0,11,NULL,22523,0.5108,NULL,,
Paine College,Augusta,GA,5,12,71,0.7499,179,15,19,408,493,368,483,0,0,1,0,0,0,0,0,8,NULL,14699,0.0784,NULL,,
Piedmont University,Demorest,GA,5,32,76,0.7008,1231,19,25,500,590,480,570,0,0,0,0,0,0,0,0,11,NULL,18796,0.4325,NULL,,
Miami Ad School-Atlanta,Atlanta,GA,5,11,NULL,NULL,68,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,-2,NULL,NULL,NULL,NULL,,
Reinhardt University,Waleska,GA,5,41,71,0.9869,1253,19,24,480,590,460,570,0,0,0,0,0,0,0,0,11,NULL,23163,0.3474,NULL,,
Savannah Technical College,Savannah,GA,5,12,NULL,NULL,3283,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,3,4992,NULL,NULL,0.4361,,
Savannah College of Art and Design,Savannah,GA,5,12,NULL,0.7792,11398,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,16,NULL,44632,0.7255,NULL,,
Savannah State University,Savannah,GA,5,12,NULL,0.4614,3115,15,19,450,520,395,460,0,0,1,0,0,0,0,0,14,10157,NULL,0.2732,NULL,,
Shorter University,Rome,GA,5,13,54,0.7093,1151,18,24,480,590,470,570,0,0,0,0,0,0,0,0,11,NULL,17871,0.4291,NULL,,
South Georgia Technical College,Americus,GA,5,41,NULL,NULL,1483,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,2,763,NULL,NULL,0.5947,,
The Creative Circus,Atlanta,GA,5,11,NULL,NULL,178,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,-2,NULL,34909,NULL,0.4407,,
Spelman College,Atlanta,GA,5,11,NULL,0.5258,2206,20,25,540,620,510,580,0,1,1,0,0,0,0,0,11,NULL,44833,0.7455,NULL,,
Thomas University,Thomasville,GA,5,32,NULL,0.3452,674,14,27,324,522,270,512,0,0,0,0,0,0,0,0,6,NULL,22613,0.4478,NULL,,
Toccoa Falls College,Toccoa Falls,GA,5,32,34,0.5773,840,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,11,NULL,22212,0.4938,NULL,,
Truett McConnell University,Cleveland,GA,5,32,75,0.9729,859,17,25,460,580,460,560,0,0,0,0,0,0,0,0,11,NULL,19253,0.3478,NULL,,
Wiregrass Georgia Technical College,Valdosta,GA,5,23,NULL,NULL,2380,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,2,1978,NULL,NULL,0.4911,,
Valdosta State University,Valdosta,GA,5,13,NULL,0.7845,9367,19,23,510,590,480,550,0,0,0,0,0,0,0,0,13,13240,NULL,0.4032,NULL,,
Wesleyan College,Macon,GA,5,12,71,0.5981,612,18,26,488,573,458,540,0,1,0,0,0,0,0,0,8,NULL,11174,0.5094,NULL,,
University of West Georgia,Carrollton,GA,5,31,NULL,0.7762,9444,17,22,480,580,420,510,0,0,0,0,0,0,0,0,16,16588,NULL,0.4435,NULL,,
Young Harris College,Young Harris,GA,5,43,71,0.6503,923,17,26,480,590,450,570,0,0,0,0,0,0,0,0,11,NULL,20768,0.4375,NULL,,
Chaminade University of Honolulu,Honolulu,HI,8,11,30,0.8897,1623,18,23,500,580,460,560,0,0,0,1,0,1,0,0,9,NULL,25360,0.5924,NULL,,
University of Hawaii at Hilo,Hilo,HI,8,33,NULL,0.7383,2563,16,22,500,590,490,580,0,0,0,1,0,1,0,0,13,13503,NULL,0.3794,NULL,,
University of Hawaii at Manoa,Honolulu,HI,8,11,NULL,0.8369,12864,21,27,540,640,530,640,0,0,0,1,0,1,0,0,16,14687,NULL,0.618,NULL,,
Hawaii Institute of Hair Design,Honolulu,HI,8,11,NULL,NULL,72,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,-2,NULL,19029,NULL,0.8333,,
Hawaii Pacific University,Honolulu,HI,8,11,NULL,0.814,2652,17,24,480,570,490,590,0,0,0,1,0,1,0,0,12,NULL,29484,0.4637,NULL,,
Honolulu Community College,Honolulu,HI,8,11,NULL,NULL,2287,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,1,0,1,0,0,2,7700,NULL,NULL,0.2804,,
Kapiolani Community College,Honolulu,HI,8,11,NULL,NULL,4318,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,1,0,1,0,0,3,6051,NULL,NULL,0.2222,,
Kauai Community College,Lihue,HI,8,33,NULL,NULL,955,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,1,0,1,0,0,2,7934,NULL,NULL,0.25,,
Leeward Community College,Pearl City,HI,8,21,NULL,NULL,4362,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,1,0,0,3,7790,NULL,NULL,0.2264,,
University of Hawaii Maui College,Kahului,HI,8,13,NULL,NULL,2115,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,1,0,1,0,0,9,11312,NULL,0.2461,NULL,,
University of Hawaii-West Oahu,Kapolei,HI,8,21,NULL,0.9523,2755,16,21,460,560,480,560,0,0,0,1,0,1,0,0,9,13860,NULL,0.3866,NULL,,
Windward Community College,Kaneohe,HI,8,22,NULL,NULL,1089,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,1,0,1,0,0,2,10223,NULL,NULL,0.216,,
Carrington College-Boise,Boise,ID,7,12,NULL,NULL,534,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,1,NULL,NULL,NULL,0.597,,
Boise Bible College,Boise,ID,7,21,88,0.9038,94,20,22,450,560,430,500,0,0,0,0,0,0,0,0,8,NULL,13757,0.3864,NULL,,
Boise State University,Boise,ID,7,12,NULL,0.7749,16973,21,26,520,610,510,600,0,0,0,0,0,0,0,0,15,16153,NULL,0.5452,NULL,,
College of Eastern Idaho,Idaho Falls,ID,7,13,NULL,NULL,1355,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,1,7627,NULL,NULL,0.5597,,
Idaho State University,Pocatello,ID,7,13,NULL,NULL,6973,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,12,17410,NULL,0.3445,NULL,,
University of Idaho,Moscow,ID,7,32,NULL,0.7444,6837,20,26,500,620,490,600,0,0,0,0,0,0,0,0,13,13964,NULL,0.5947,NULL,,
The College of Idaho,Caldwell,ID,7,22,NULL,0.4835,1100,21,26,520,620,530,620,0,0,0,0,0,0,0,0,8,NULL,21412,0.6606,NULL,,
Lewis-Clark State College,Lewiston,ID,7,13,NULL,0.9975,2613,17,22,440,560,430,550,0,0,0,0,0,0,0,0,9,10775,NULL,0.3585,NULL,,
Aveda Institute-Twin Falls,Twin Falls,ID,7,33,NULL,NULL,76,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,-2,NULL,11994,NULL,0.6957,,
Mr Leon's School of Hair Design-Moscow,Moscow,ID,7,32,NULL,NULL,11,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,-2,NULL,12695,NULL,0.8,,
North Idaho College,Coeur d'Alene,ID,7,13,NULL,NULL,3198,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,3,7207,NULL,NULL,0.2814,,
Northwest Nazarene University,Nampa,ID,7,22,59,0.7683,1220,19,25,500,590,480,600,0,0,0,0,0,0,0,0,11,NULL,21647,0.6231,NULL,,
Nathan Layne Institute of Cosmetology,Chubbuck,ID,7,23,NULL,NULL,18,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,-2,NULL,12993,NULL,0.8571,,
Brigham Young University-Idaho,Rexburg,ID,7,32,94,0.9701,43660,20,26,500,610,500,590,0,0,0,0,0,0,0,0,15,NULL,6698,0.5593,NULL,,
College of Southern Idaho,Twin Falls,ID,7,33,NULL,NULL,3558,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,1,0,3,5188,NULL,0.2649,NULL,,
Adler University,Chicago,IL,3,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,18,NULL,NULL,NULL,NULL,,
American Academy of Art College,Chicago,IL,3,11,NULL,NULL,169,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,6,NULL,28554,0.5797,NULL,,
American Islamic College,Chicago,IL,3,11,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,-2,NULL,NULL,0,NULL,,
School of the Art Institute of Chicago,Chicago,IL,3,11,NULL,0.7778,2487,22,25,560,660,488,600,0,0,0,0,0,0,0,0,13,NULL,45909,0.678,NULL,,
Augustana College,Rock Island,IL,3,13,39,0.5735,2374,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,11,NULL,23489,0.7658,NULL,,
Aurora University,Aurora,IL,3,21,NULL,0.8395,4123,19,23,490,570,490,570,0,0,0,0,0,0,1,0,12,NULL,16994,0.5797,NULL,,
Southwestern Illinois College,Belleville,IL,3,21,NULL,NULL,5723,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,4,6995,NULL,NULL,0.2756,,
Bethany Theological Seminary,Richmond,IN,3,32,58,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,18,NULL,NULL,NULL,NULL,,
Black Hawk College,Moline,IL,3,13,NULL,NULL,2459,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,3,5208,NULL,NULL,0.3455,,
Blackburn College,Carlinville,IL,3,32,66,0.5518,484,17,23,460,550,430,528,0,0,0,0,0,0,0,0,8,NULL,17365,0.4518,NULL,,
Blessing Rieman College of Nursing and Health Sciences,Quincy,IL,3,33,NULL,NULL,158,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,6,NULL,NULL,NULL,NULL,,
Blessing Hospital School of Radiologic Technology,Quincy,IL,3,33,NULL,NULL,11,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,-2,NULL,NULL,NULL,NULL,,
Bradley University,Peoria,IL,3,12,NULL,0.7328,4570,22,28,540,630,540,650,0,0,0,0,0,0,0,0,13,NULL,25196,0.755,NULL,,
Paul Mitchell the School-Bradley,Bourbonnais,IL,3,23,NULL,NULL,211,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,-2,NULL,17928,NULL,0.6226,,
Cameo Beauty Academy,Oak Lawn,IL,3,21,NULL,NULL,79,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,-2,NULL,18845,NULL,0.3846,,
Cannella School of Hair Design-Villa Park,Villa Park,IL,3,21,NULL,NULL,37,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,-2,NULL,5107,NULL,0.75,,
Cannella School of Hair Design-Chicago,Chicago,IL,3,11,NULL,NULL,46,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,-2,NULL,9274,NULL,0.6154,,
Cannella School of Hair Design-Chicago,Chicago,IL,3,11,NULL,NULL,36,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,-2,NULL,7778,NULL,0.75,,
