INSTNM,CITY,STABBR,REGION,LOCALE,RELAFFIL,ADM_RATE,UGDS,ACTCM25,ACTCM75,SATVR25,SATVR75,SATMT25,SATMT75,MENONLY,WOMENONLY,HBCU,ANNHI,TRIBAL,AANAPII,HSI,NANTI,CCSIZSET,NPT4_PUB,NPT4_PRIV,C150_4,C150_L4,,
Marion Military Institute,Marion,AL,5,43,NULL,0.575,400,18,26,560,650,540,650,0,0,0,0,0,0,0,0,1,11190,NULL,NULL,0.4073,,
Miles College,Fairfield,AL,5,21,55,NULL,1438,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,0,0,0,0,0,11,NULL,14912,0.2351,NULL,,
University of Mobile,Mobile,AL,5,41,75,0.6657,1164,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,11,NULL,23416,0.489,NULL,,
University of Montevallo,Montevallo,AL,5,21,NULL,0.6052,2186,19,26,500,600,490,615,0,0,0,0,0,0,0,0,11,18584,NULL,0.5415,NULL,,
Northwest-Shoals Community College,Muscle Shoals,AL,5,13,NULL,NULL,2321,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,3,6166,NULL,NULL,0.2452,,
University of North Alabama,Florence,AL,5,13,NULL,0.8266,5411,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,13,13699,NULL,0.4995,NULL,,
Northeast Alabama Community College,Rainsville,AL,5,42,NULL,NULL,1642,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,2,3759,NULL,NULL,0.4698,,
Oakwood University,Huntsville,AL,5,12,95,0.8881,1320,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,0,0,0,0,0,11,NULL,26953,0.5,NULL,,
Reid State Technical College,Evergreen,AL,5,41,NULL,NULL,212,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,1,1515,NULL,NULL,0.2909,,
Bishop State Community College,Mobile,AL,5,12,NULL,NULL,1628,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,0,0,0,0,0,3,4352,NULL,NULL,0.2056,,
Samford University,Birmingham,AL,5,21,54,0.8399,3573,23,29,540,640,520,600,0,0,0,0,0,0,0,0,14,NULL,30072,0.772,NULL,,
Shelton State Community College,Tuscaloosa,AL,5,12,NULL,NULL,3272,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,0,0,0,0,0,3,8010,NULL,NULL,0.1511,,
Snead State Community College,Boaz,AL,5,32,NULL,NULL,1489,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,2,5746,NULL,NULL,0.4954,,
University of South Alabama,Mobile,AL,5,12,NULL,0.7303,8787,20,27,503,610,480,580,0,0,0,0,0,0,0,0,16,16826,NULL,0.4491,NULL,,
Spring Hill College,Mobile,AL,5,12,30,0.5416,1058,20,25,490,590,510,560,0,0,0,0,0,0,0,0,11,NULL,22560,0.5691,NULL,,
Stillman College,Tuscaloosa,AL,5,12,66,0.5553,699,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,0,0,0,0,0,8,NULL,19846,0.2151,NULL,,
Talladega College,Talladega,AL,5,32,76,NULL,1142,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,0,0,0,0,0,8,NULL,19863,0.3014,NULL,,
H Councill Trenholm State Community College,Montgomery,AL,5,12,NULL,NULL,1335,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,0,0,0,0,0,2,4911,NULL,NULL,0.1834,,
Troy University,Troy,AL,5,33,NULL,0.9243,12294,18,25,475,565,460,540,0,0,0,0,0,0,0,0,15,14992,NULL,0.5017,NULL,,
Tuskegee University,Tuskegee,AL,5,32,NULL,0.6113,2280,18,24,450,525,410,520,0,0,1,0,0,0,0,0,14,NULL,36528,0.5189,NULL,,
United States Sports Academy,Daphne,AL,5,13,NULL,NULL,130,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,6,NULL,NULL,NULL,NULL,,
Bevill State Community College,Jasper,AL,5,32,NULL,NULL,2230,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,3,8600,NULL,NULL,0.3121,,
University of Alaska Anchorage,Anchorage,AK,8,11,NULL,0.7683,8257,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,15,11782,NULL,0.3012,NULL,,
Alaska Bible College,Palmer,AK,8,32,88,NULL,36,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,8,NULL,15630,0.625,NULL,,
University of Alaska Fairbanks,Fairbanks,AK,8,23,NULL,0.6701,4259,18,26,530,640,520,630,0,0,0,1,0,0,0,1,13,10510,NULL,0.387,NULL,,
University of Alaska Southeast,Juneau,AK,8,33,NULL,0.6352,1063,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,1,0,0,0,1,9,10292,NULL,0.1753,NULL,,
